Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
161	KA06MH0164	Dandiganahally Tank	Karnataka Water Resources Department	13.50805556	77.65916667	1987	Pennar	North Pennar	Gowribidanur	II	Earthfill_Embankment	20.92	337	95430	3119000	398000	2898000	I	116.14
222	KA06LH0227	Singahallidalvayikere	Karnataka Water Resources Department	13.4425	76.74194444		Krishna	Suvarnamuki SS VI	C.N.Halli	II	Earthfill_Embankment	11.45	870	120000	3180000	1197000	2870000	I	139.36
68	KA06LH0070	Kalikatte Tank	Karnataka Water Resources Department	11.74805556	76.69027778	1968	Cauvery	Kalikattehalla	Gundlupet	II	Earthfill_Embankment	14.84	1122	2859000	3170000	2860000	2720000	I	418.84
192	KA06MH0195	Mundawad Tank	Karnataka Water Resources Department	15.06944444	75.77916667	1994	Krishna	SHIRAHATTE NALA	mundargi	II	Earthfill_Embankment	20.19	994	1476000	2959000	1417000	2690000	I	710
116	KA06MH0118	Hulikunta Tank	Karnataka Water Resources Department	14.99583333	76.39861111	1979	Krishna	Tungabhadra	Sandur	II	Earthfill_Embankment	28.65	550	14712000	2715000	513500	2576000	I	116
64	KA06LH0066	Kamarahalli Tank	Karnataka Water Resources Department	11.93694444	76.68555556	1967	Cauvery	K.Hallihalla	Gundlupet	II	Earthfill_Embankment	12	1020	2670	2960000	2670000	2540000	I	260.36
44	KA06LH0046	Makhanpur Tank	Karnataka Water Resources Department	16.98777778	75.73388889	1961	Krishna	Makhanpur	Bijapur.	II	Other	13.75	951	71290	2694400	970600	2530000	I	353.96
112	KA06MH0114	Chikkagondanahally Tank	Karnataka Water Resources Department	12.40527778	77.58527778	1979	Cauvery	Arkavathy	Kanakapura	II	Earthfill_Embankment	22.3	516	40210	5900000	350220	2463000	I	153
45	KA06LH0047	Nagathan Tank	Karnataka Water Resources Department	16.90611111	75.815	1961	Krishna	Nagathan nala	Bijapur.	II	Other	10.63	1125	68500	2775020	1295000	2412570	I	249.18
188	KA06LH0191	Gobbur Tank	Karnataka Water Resources Department	17.28333333	76.69555556	1993	Krishna	Gobbur Nala	Afzalpur	II	Earthfill_Embankment	10.3	1525	382000	3020000	1506800	2390000	I	722
155	KA06MH0157	Devarabillikere Tank	Karnataka Water Resources Department	14.39416667	75.83	1985	Krishna	Shagalihalla and Sulekere Halla	harihar	II	Earthfill_Embankment	17.4	1204	454610	2619000	6475000	2358000	I	1698.99
99	KA06LH0101	Bharatagi Tank	Karnataka Water Resources Department	16.91527778	75.76083333	1975	Krishna	BHARATAGI	Bijapur.	II	Other	13.02	1076	50180	2803330	1073400	2270700	I	488.25
118	KA06LH0120	Katral Tank	Karnataka Water Resources Department	16.61416667	75.51361111	1979	Krishna	Katral	Bijapur.	II	Other	11.22	1240	79250	2381000	1215000	2262000	I	326.77
143	KA06LH0145	Gowdahally Tank	Karnataka Water Resources Department	12.05055556	77.11527778	1983	Cauvery	K.K.Halla	Yelandur	II	Earthfill_Embankment	13.73	731.5	270400	239000000	60700000	2230000	I	71.98
168	KA06MH0171	Bhopalgod Belkone	Karnataka Water Resources Department	18.28277778	77.28194444	1988	Godavari	Local	aurad	II	Earthfill_Embankment	19.72	602	156200	2360000	161600	2158000	I	92.20
102	KA06LH0104	Kohalli Tank	Karnataka Water Resources Department	16.82722222	75.24666667	1975	Krishna	Hirehalla	Athani	III	Earthfill_Embankment	14.63	659	96200	2380000	971000	2144110	I	271
141	KA06MH0143	Alalur Tank	Karnataka Water Resources Department	12.24805556	76.10333333	1983	Cauvery	Lakshmanathirtha	piriyapatna	II	Other	17.41	939.6	2400	218000000	460000	2070000	I	50.18
15	KA06LH0017	Mavathur Tank	Karnataka Water Resources Department	13.44888889	77.33722222	1908	East flowing rivers between Krishna and Pennar	Garudachala	Koratagere	II	Earthfill_Embankment	14	1380	799000	2100000	3566000	2047000	I	204.36
131	KA06LH0133	Bommanahalli Tank	Karnataka Water Resources Department	16.99111111	75.77111111	1981	Krishna	Bommanahalli	Bijapur.	II	Other	12.7	770	36580	2548400	865000	2018840	I	331.30
127	KA06LH0129	Kunigal Thimmanahalli	Karnataka Water Resources Department	13.59583333	77.0875	1980	Krishna	Thimmanahalli nala	Tumkur	II	Earthfill_Embankment	14.2	330	133900	2170000	720000	1960000	I	102.50
176	KA06MH0179	Gopinatham Tank	Karnataka Water Resources Department	12.05	77.68944444	1989	Cauvery	Cauvery Basin	Kollegal	II	Earthfill_Embankment	18.16	402	176400	2180000	450000	1900000	I	222
65	KA06LH0067	Siddasamudra	Karnataka Water Resources Department	15.68666667	74.90555556	1967	Krishna	Local Nala Malaprabha Sub Basin	sampgaon	II	Earthfill_Embankment	13.72	712	212470	2158550	1045000	1880000	I	398
166	KA06MH0169	Ankamanhal Tank	Karnataka Water Resources Department	14.99388889	76.52027778	1988	Krishna	Krishna T.Bhadra	Sandur	II	Earthfill_Embankment	21.29	300	8516000	1931490	408600	1783644	I	102.2237199
130	KA06LH0132	Appenahalli Tank	Karnataka Water Resources Department	14.86722222	76.68305556	1981	Krishna	Krishna T.Bhadra	Kudligi	II	Earthfill_Embankment	13.75	525	5362000	1782000	390000	1782000	I	199
113	KA06LH0115	Gundwan tank at Site- 1	Karnataka Water Resources Department	17.1725	75.78777778	1979	Krishna	Gundwan - I	indi	II	Other	13.05	973	90060	2179200	1000000	1765200	I	283.73
211	KA06LH0214	Medleri Tank	Karnataka Water Resources Department	14.64722222	75.71611111		Krishna	Local Nala	Ranebennur	II	Earthfill_Embankment	10.68	701.5	36730	1744300	684450	1744300	I	198
46	KA06LH0048	Gundwan tank at Site- 2	Karnataka Water Resources Department	17.2275	75.81555556	1962	Krishna	Gundwan - II	indi	II	Other	11.21	690	52070	1840500	704200	1721000	I	465.58
103	KA06LH0105	Eakkundi Tank	Karnataka Water Resources Department	16.6	75.3	1976	Krishna	Eakkundi	Bijapur.	II	Other	11.17	860	59000	1914500	896700	1717300	I	227.18
71	KA06LH0073	Kuppakaddi Tank	Karnataka Water Resources Department	16.54333333	75.675	1969	Krishna	Kuppakadi	Basavana Bagevadi	II	Other	11.27	865	57850	1842050	737100	1656500	I	119.30
133	KA06LH0135	Ekamba Tank	Karnataka Water Resources Department	18.27638889	77.36277778	1981	Godavari	Local	aurad	II	Earthfill_Embankment	13	648	133860	183633000	383710	1654000	I	45.28
169	KA06MH0172	Changliar Tank	Karnataka Water Resources Department	17.63861111	77.37138889	1988	Krishna	mullamari k-b	homnabad	II	Earthfill_Embankment	17.89	505	105910	1797000	358400	1653000	I/F	66.70
209	KA06LH0212	Bukkambudi Doddekere	Karnataka Water Resources Department	13.84333333	75.97527778		Krishna	Local Halla	Tarikere	II	Earthfill_Embankment	13	1160	31000	1720000	1640000	1640000	I	22.4
